ID,IC,FII,body_part,dry_weight
260,0.25,35,drytotal,14.489999999999998
261,0.25,25,drythor,6.1
261,0.25,25,dryrest,9.33
261,0.25,25,drytotal,15.43
262,0,49,drythor,5.26
262,0,49,dryrest,9.35
262,0,49,drytotal,14.61
263,0,30,drythor,4.1
263,0,30,dryrest,4.26
263,0,30,drytotal,8.36
264,0,48,drythor,5.01
264,0,48,dryrest,9.21
264,0,48,drytotal,14.22
265,0,26,drythor,4.73
265,0,26,dryrest,9.6
265,0,26,drytotal,14.33
266,0,42,drythor,4.25
266,0,42,dryrest,6.05
266,0,42,drytotal,10.3
267,0,33,drythor,4.25
267,0,33,dryrest,7.44
267,0,33,drytotal,11.690000000000001
268,0,67,drythor,4.45
268,0,67,dryrest,7.15
268,0,67,drytotal,11.600000000000001
269,0,45,drythor,4.97
269,0,45,dryrest,6.77
269,0,45,drytotal,11.739999999999998
270,0,11,drythor,6.45
270,0,11,dryrest,7.81
270,0,11,drytotal,14.26
271,0,34,drythor,6.3
271,0,34,dryrest,6.31
271,0,34,drytotal,12.61
272,0.25,54,drythor,5.12
272,0.25,54,dryrest,7.68
272,0.25,54,drytotal,12.8
273,0.25,65,drythor,5.16
273,0.25,65,dryrest,7.71
273,0.25,65,drytotal,12.870000000000001
274,0.25,53,drythor,5.71
274,0.25,53,dryrest,10.95
274,0.25,53,drytotal,16.66
275,0.25,45,drythor,6.61
275,0.25,45,dryrest,7.14
275,0.25,45,drytotal,13.75
276,0.25,27,drythor,5.44
276,0.25,27,dryrest,9.02
276,0.25,27,drytotal,14.46
277,0.25,45,drythor,5.54
277,0.25,45,dryrest,6.34
277,0.25,45,drytotal,11.879999999999999
278,0.25,27,drythor,5.13
278,0.25,27,dryrest,7.35
278,0.25,27,drytotal,12.48
279,0.25,22,drythor,5.33
279,0.25,22,dryrest,8.78
279,0.25,22,drytotal,14.11
280,0.25,48,drythor,5.69
280,0.25,48,dryrest,10.52
280,0.25,48,drytotal,16.21
281,0.25,44,drythor,5.23
281,0.25,44,dryrest,10.3
281,0.25,44,drytotal,15.530000000000001
282,0.25,74,drythor,6.14
282,0.25,74,dryrest,11.61
282,0.25,74,drytotal,17.75
285,0.25,47,drythor,5.01
285,0.25,47,dryrest,8.23
285,0.25,47,drytotal,13.24
286,0.375,58,drythor,4.92
286,0.375,58,dryrest,7.22
286,0.375,58,drytotal,12.14
287,0.375,31,drythor,6.28
287,0.375,31,dryrest,9.16
287,0.375,31,drytotal,15.440000000000001
288,0.375,31,drythor,5.66
288,0.375,31,dryrest,7.1
288,0.375,31,drytotal,12.76
289,0.375,47,drythor,5.42
289,0.375,47,dryrest,9.35
289,0.375,47,drytotal,14.77
290,0.375,45,drythor,4.62
290,0.375,45,dryrest,6.26
290,0.375,45,drytotal,10.879999999999999
291,0.375,36,drythor,4.92
